Symbol,Company Name,Company Code,Subsector Code
STEM,STHREE PLC,STSTHR,50205025
HGT,HG CAPITAL TRUST PLC,HGHGT,30204000
BPT,BRIDGEPOINT GROUP PLC,BRIDPO,30202010
VMUK,VIRGIN MONEY UK PLC,CYBGCL,30101010
HL.,HARGREAVES LANSDOWN PLC,HAHL.,30202010
INCH,INCHCAPE PLC,INARX,50205020
FDM,FDM GROUP (HOLDINGS) PLC,FDFDM,50205025
MGNS,MORGAN SINDALL GROUP PLC,MOMGNS,50101010
INVP,INVESTEC PLC,ININVP,30101010
ATG,AUCTION TECHNOLOGY GROUP PLC,AUCTGP,10101020
MONY,MONEYSUPERMARKET.COM GROUP PLC,MOMONY,10101020
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMITED,VEILVE,30204000
DOCS,DR. MARTENS PLC,DRMART,40204025
HILS,HILL & SMITH PLC,HIHO,55102015
DOM,DOMINO'S PIZZA GROUP PLC,DODOM,40501040
WG.,WOOD GROUP (JOHN) PLC,WOWG,60101030
MEGP,ME GROUP INTERNATIONAL PLC,PHUA,40203060
DEC,DIVERSIFIED ENERGY COMPANY PLC,DIDGOC,60101010
AJB,AJ BELL PLC,AJAJBE,30202015
TUI,TUI AG,TUIJAG,40501015
KNOS,KAINOS GROUP PLC,KAKNOS,10101015
COA,COATS GROUP PLC,COCOA,50203000
BREE,BREEDON GROUP PLC,BRBREE,50101035
ELM,ELEMENTIS PLC,ELELM,55201000
GNS,GENUS PLC,GEGNS,20103010
TLW,TULLOW OIL PLC,TUHV,60101010
DRX,DRAX GROUP PLC,DRDRX,65101015
CCL,CARNIVAL PLC,CACCL,40501015
RDW,REDROW PLC,REEQS,40202010
IDS,INTERNATIONAL DISTRIBUTIONS SERVICES PLC,RORMG,50206040
ENOG,ENERGEAN PLC,ENENOG,60101010
PNN,PENNON GROUP PLC,PEPNN,65102030
TPK,TRAVIS PERKINS PLC,TRIA,50205010
GRG,GREGGS PLC,GRMT,45201010
RSW,RENISHAW PLC,REMN,50202025
FXPO,FERREXPO PLC,FEFXPO,55102010
PLUS,PLUS500 LTD,PLUSIL,30202015
CURY,CURRYS PLC,DIXDC,40401030
EZJ,EASYJET PLC,EAEZJ,40501010
QQ.,QINETIQ GROUP PLC,QIQQ.,50201020
FOUR,4IMPRINT GROUP PLC,IMFOU,40301020
PZC,PZ CUSSONS PLC,PZPZC,45201020
IBST,IBSTOCK PLC,IBI,50101030
INDV,INDIVIOR PLC,ININDV,20103015
CBG,CLOSE BROTHERS GROUP PLC,CLQH,30101010
WOSG,WATCHES OF SWITZERLAND GROUP PLC,WAWOSG,40204030
FUTR,FUTURE PLC,FUFUTR,40301020
HBR,HARBOUR ENERGY PLC,PRCI,60101010
PTEC,PLAYTECH PLC,PLPTEC,40501020
PPH,PPHE HOTEL GROUP LIMITED,PAPPH,40501025
JLEN,JLEN ENVIRONMENTAL ASSETS GROUP LIMITED,JLJLEN,30204000
ICGT,ICG ENTERPRISE TRUST PLC,ICGTIC,30204000
FEML,FIDELITY EMERGING MARKETS LIMITED,GEIL,30204000
APAX,APAX GLOBAL ALPHA LIMITED,APAPAX,30204000
