Symbol,AnnualDividendsPerShare,DividendYield,PayoutRatio,RetentionRatio,DividendCount,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12
CMCSA,1.16,2.64,12.19,0.8781,4.0,0,0,0,0,0,0,0,0,0,0,1,0
CMCT,0.34,9.07,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
CME,4.4,2.06,25.51,0.7449,5.0,0,0,0,0,1,0,0,0,0,0,0,0
CMTL,0.4,5.14,30.765510204081632,0.6923448979591837,1.0,0,0,0,0,0,0,0,0,0,1,0,0
CNOB,0.68,2.96,9.57,0.9043,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CNOBP,1.3125,7.29,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CNXC,1.21,1.23,14.71,0.8529,4.0,0,0,0,0,0,0,0,0,0,1,0,0
CNXN,0.32,0.47,22.98,0.7702,4.0,0,1,0,0,0,0,0,0,0,0,0,0
COFS,1.08,3.5,10.24,0.8976,4.0,0,0,0,0,1,0,0,0,0,0,0,0
COKE,2.0,0.22,18.55,0.8145,4.0,0,0,1,0,0,0,0,0,0,0,0,0
COLB,1.44,5.41,12.79,0.8721,4.0,0,0,0,0,1,0,0,0,0,0,0,0
COLM,1.2,1.46,17.82,0.8218,4.0,0,1,0,0,0,0,0,0,0,0,0,0
COO,0.06,0.02,62.35,0.37649999999999995,2.0,0,0,0,0,0,1,0,0,0,0,0,0
COST,4.08,0.61,45.34,0.5466,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CPHC,0.28,1.43,9.39,0.9061,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CPLP,0.6,4.36,5.06,0.9494,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CPZ,1.68,11.43,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CRAI,1.68,1.68,20.15,0.7985,4.0,0,1,0,0,0,0,0,0,0,0,0,0
